AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted Efficiency Margin,KP_Adjusted Offensive Efficiency,KP_AOE Rk,KP_Adjusted Defensive Efficiency,KP_ADE Rk,KP_Adjusted Tempo,KP_AT Rk,KP_Luck,KP_Luck Rk,KP_Strength of Schedule,KP_SOS Rk,KP_Non-Conference Strength of Schedule,KP_NCSOS Rk,KP_Average Opponents Offensive Efficiency,KP_AOOE Rk,KP_Average Opponents Defensive Efficiency,KP_AODE Rk,Round,Round Number,Team,Seed,PF**,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,OppTeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted Efficiency Margin,Opp_KP_Adjusted Offensive Efficiency,Opp_KP AOW Rk,Opp_KP_Adjusted Defensive Efficiency,Opp_KP_ADE Rk,Opp_KP_Adjusted Tempo,Opp_KP_AT Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength of Schedule,Opp_KP_SOS Rk,Opp_KP_Non-Conference Strength of Schedule,Opp_KP_NCSOS Rk,Opp_KP_Average Opponents Offensive Efficiency,Opp_KP_AOOE Rk,Opp_KP_Average Opponents Defensive Efficiency,Opp_KP_AODE Rk,OppTeam,OppSeed,GameID
22,,17,2021,20,Colorado,0,Pac-12,30.00,22.00,8.00,0.733,14.00,6.00,0.7,11.00,1.00,6.00,6.00,4.00,1.00,3.00,1.00,1445.00,1298.00,72.3,64.9,2191.00,1898.00,73,63.3,774.00,1704.00,0.454,224.00,611.00,0.367,419.00,510.00,0.822,23.11,115.1,17,92,29,66.4,280,-0.033,252,10.78,68,1.99,180,107.8,66,97,71,Second Round,2,Colorado,5,53,14,21,15,13,Florida State,ACC,22.00,16.00,6.00,0.727,11.00,4.00,0.733,12.00,1.00,3.00,4.00,1.00,1.00,2.00,0.00,1208.00,1060.00,80.5,70.7,1736.00,1547.00,78.9,70.3,620.00,1307.00,0.474,181.00,464.00,0.39,315.00,427.00,0.738,23.5,117.1,10,93.6,48,70.6,84,-0.011,207,12.54,44,4.23,142,108.8,46,96.2,45,Florida State,4,40
14,21,15,2021,13,Florida State,0,ACC,22.00,16.00,6.00,0.727,11.00,4.00,0.733,12.00,1.00,3.00,4.00,1.00,1.00,2.00,0.00,1208.00,1060.00,80.5,70.7,1736.00,1547.00,78.9,70.3,620.00,1307.00,0.474,181.00,464.00,0.39,315.00,427.00,0.738,23.5,117.1,10,93.6,48,70.6,84,-0.011,207,12.54,44,4.23,142,108.8,46,96.2,45,Second Round,2,Florida State,4,71,22,,17,20,Colorado,Pac-12,30.00,22.00,8.00,0.733,14.00,6.00,0.7,11.00,1.00,6.00,6.00,4.00,1.00,3.00,1.00,1445.00,1298.00,72.3,64.9,2191.00,1898.00,73,63.3,774.00,1704.00,0.454,224.00,611.00,0.367,419.00,510.00,0.822,23.11,115.1,17,92,29,66.4,280,-0.033,252,10.78,68,1.99,180,107.8,66,97,71,Colorado,5,40
,22,44,2021,44,UCLA,0,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,Second Round,2,UCLA,11,67,,,86,55,Abilene Christian,Southland,27.00,23.00,4.00,0.852,13.00,2.00,0.867,13.00,0.00,5.00,4.00,5.00,0.00,0.00,1.00,1178.00,943.00,78.5,62.9,2096.00,1634.00,77.6,60.5,749.00,1628.00,0.46,214.00,606.00,0.353,384.00,571.00,0.673,11.56,103.7,157,92.2,30,70,101,-0.027,238,-8.15,331,4.29,138,97.6,318,105.8,329,Abilene Christian,14,41
,,86,2021,55,Abilene Christian,1,Southland,27.00,23.00,4.00,0.852,13.00,2.00,0.867,13.00,0.00,5.00,4.00,5.00,0.00,0.00,1.00,1178.00,943.00,78.5,62.9,2096.00,1634.00,77.6,60.5,749.00,1628.00,0.46,214.00,606.00,0.353,384.00,571.00,0.673,11.56,103.7,157,92.2,30,70,101,-0.027,238,-8.15,331,4.29,138,97.6,318,105.8,329,Second Round,2,Abilene Christian,14,47,,22,44,44,UCLA,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,UCLA,11,41
,,31,2021,36,Maryland,0,Big Ten,29.00,16.00,13.00,0.552,9.00,11.00,0.45,11.00,6.00,4.00,6.00,1.00,1.00,4.00,7.00,1290.00,1315.00,64.5,65.8,1995.00,1884.00,68.8,65,699.00,1533.00,0.456,234.00,663.00,0.353,363.00,517.00,0.702,20.15,111.6,42,91.5,27,65.3,317,-0.035,253,17.06,12,-0.8,225,110.1,22,93.1,4,Second Round,2,Maryland,10,77,5,,8,5,Alabama,SEC,30.00,24.00,6.00,0.8,16.00,2.00,0.889,12.00,1.00,7.00,3.00,5.00,2.00,1.00,3.00,1474.00,1262.00,81.9,70.1,2387.00,2093.00,79.6,69.8,834.00,1937.00,0.431,320.00,912.00,0.351,399.00,554.00,0.72,26.42,112.4,34,86,2,73.9,9,0.031,107,14.2,27,8.88,70,109.7,28,95.5,32,Alabama,2,42
5,,8,2021,5,Alabama,1,SEC,30.00,24.00,6.00,0.8,16.00,2.00,0.889,12.00,1.00,7.00,3.00,5.00,2.00,1.00,3.00,1474.00,1262.00,81.9,70.1,2387.00,2093.00,79.6,69.8,834.00,1937.00,0.431,320.00,912.00,0.351,399.00,554.00,0.72,26.42,112.4,34,86,2,73.9,9,0.031,107,14.2,27,8.88,70,109.7,28,95.5,32,Second Round,2,Alabama,2,96,,,31,36,Maryland,Big Ten,29.00,16.00,13.00,0.552,9.00,11.00,0.45,11.00,6.00,4.00,6.00,1.00,1.00,4.00,7.00,1290.00,1315.00,64.5,65.8,1995.00,1884.00,68.8,65,699.00,1533.00,0.456,234.00,663.00,0.353,363.00,517.00,0.702,20.15,111.6,42,91.5,27,65.3,317,-0.035,253,17.06,12,-0.8,225,110.1,22,93.1,4,Maryland,10,42
3,2,4,2021,2,Baylor,0,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Second Round,2,Baylor,1,76,,7,10,35,Wisconsin,Big Ten,29.00,17.00,12.00,0.586,10.00,10.00,0.5,11.00,5.00,5.00,6.00,1.00,1.00,3.00,9.00,1336.00,1322.00,66.8,66.1,2019.00,1865.00,69.6,64.3,711.00,1690.00,0.421,248.00,690.00,0.359,349.00,455.00,0.767,24.08,113.2,32,89.1,13,64.9,326,-0.049,283,18.06,9,1.22,194,111.7,7,93.7,8,Wisconsin,9,43
,7,10,2021,35,Wisconsin,0,Big Ten,29.00,17.00,12.00,0.586,10.00,10.00,0.5,11.00,5.00,5.00,6.00,1.00,1.00,3.00,9.00,1336.00,1322.00,66.8,66.1,2019.00,1865.00,69.6,64.3,711.00,1690.00,0.421,248.00,690.00,0.359,349.00,455.00,0.767,24.08,113.2,32,89.1,13,64.9,326,-0.049,283,18.06,9,1.22,194,111.7,7,93.7,8,Second Round,2,Wisconsin,9,63,3,2,4,2,Baylor,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Baylor,1,43
18,3,12,2021,18,Villanova,0,Big East,22.00,16.00,6.00,0.727,11.00,4.00,0.733,9.00,0.00,4.00,4.00,3.00,2.00,3.00,1.00,1116.00,998.00,74.4,66.5,1662.00,1477.00,75.5,67.1,581.00,1291.00,0.45,203.00,576.00,0.352,297.00,388.00,0.765,24.05,119.3,9,95.3,68,65.1,320,-0.006,196,12.99,41,7.33,91,108.8,44,95.9,41,Second Round,2,Villanova,5,84,,,71,52,North Texas,C-USA,26.00,17.00,9.00,0.654,9.00,5.00,0.643,8.00,3.00,5.00,6.00,4.00,0.00,0.00,1.00,955.00,868.00,68.2,62,1815.00,1592.00,69.8,61.2,668.00,1405.00,0.475,197.00,524.00,0.376,282.00,384.00,0.734,13.13,106.1,119,92.9,42,63.1,350,-0.042,271,4.33,132,5.22,124,103.5,158,99.1,116,North Texas,13,44
,,71,2021,52,North Texas,1,C-USA,26.00,17.00,9.00,0.654,9.00,5.00,0.643,8.00,3.00,5.00,6.00,4.00,0.00,0.00,1.00,955.00,868.00,68.2,62,1815.00,1592.00,69.8,61.2,668.00,1405.00,0.475,197.00,524.00,0.376,282.00,384.00,0.734,13.13,106.1,119,92.9,42,63.1,350,-0.042,271,4.33,132,5.22,124,103.5,158,99.1,116,Second Round,2,North Texas,13,61,18,3,12,18,Villanova,Big East,22.00,16.00,6.00,0.727,11.00,4.00,0.733,9.00,0.00,4.00,4.00,3.00,2.00,3.00,1.00,1116.00,998.00,74.4,66.5,1662.00,1477.00,75.5,67.1,581.00,1291.00,0.45,203.00,576.00,0.352,297.00,388.00,0.765,24.05,119.3,9,95.3,68,65.1,320,-0.006,196,12.99,41,7.33,91,108.8,44,95.9,41,Villanova,5,44
21,14,23,2021,22,Texas Tech,0,Big 12,27.00,17.00,10.00,0.63,9.00,8.00,0.529,11.00,4.00,5.00,4.00,1.00,2.00,3.00,8.00,1224.00,1162.00,72,68.4,1972.00,1712.00,73,63.4,686.00,1549.00,0.443,168.00,485.00,0.346,432.00,608.00,0.711,22.38,113.1,33,90.7,24,65.4,316,-0.091,333,11.29,59,-5.55,288,108,60,96.7,60,Second Round,2,Texas Tech,6,66,10,,18,9,Arkansas,SEC,28.00,22.00,6.00,0.786,13.00,4.00,0.765,16.00,1.00,5.00,4.00,1.00,1.00,2.00,2.00,1369.00,1263.00,80.5,74.3,2307.00,1979.00,82.4,70.7,825.00,1814.00,0.455,220.00,649.00,0.339,437.00,593.00,0.737,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,-5.28,282,108.2,56,97,69,Arkansas,3,45
10,,18,2021,9,Arkansas,0,SEC,28.00,22.00,6.00,0.786,13.00,4.00,0.765,16.00,1.00,5.00,4.00,1.00,1.00,2.00,2.00,1369.00,1263.00,80.5,74.3,2307.00,1979.00,82.4,70.7,825.00,1814.00,0.455,220.00,649.00,0.339,437.00,593.00,0.737,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,-5.28,282,108.2,56,97,69,Second Round,2,Arkansas,3,68,21,14,23,22,Texas Tech,Big 12,27.00,17.00,10.00,0.63,9.00,8.00,0.529,11.00,4.00,5.00,4.00,1.00,2.00,3.00,8.00,1224.00,1162.00,72,68.4,1972.00,1712.00,73,63.4,686.00,1549.00,0.443,168.00,485.00,0.346,432.00,608.00,0.711,22.38,113.1,33,90.7,24,65.4,316,-0.091,333,11.29,59,-5.55,288,108,60,96.7,60,Texas Tech,6,45
,,37,2021,28,Florida  ,0,SEC,23.00,14.00,9.00,0.609,9.00,7.00,0.563,6.00,3.00,5.00,5.00,3.00,1.00,2.00,2.00,1158.00,1123.00,72.4,70.2,1701.00,1606.00,74,69.8,605.00,1303.00,0.464,157.00,440.00,0.357,334.00,441.00,0.757,18.98,111.7,40,92.7,37,68.7,165,0.003,166,14.62,23,8.64,76,109.7,27,95.1,25,Second Round,2,Florida,7,78,,,152,61,Oral Roberts,Summit League,26.00,16.00,10.00,0.615,10.00,5.00,0.667,8.00,3.00,5.00,7.00,3.00,0.00,0.00,0.00,1222.00,1134.00,81.5,75.6,2126.00,1970.00,81.8,75.8,734.00,1617.00,0.454,294.00,754.00,0.39,364.00,442.00,0.824,2.64,109.4,74,106.7,285,71.8,47,0.013,147,0.01,177,21.34,4,102.9,173,102.8,206,Oral Roberts,15,46
,,152,2021,61,Oral Roberts,1,Summit League,26.00,16.00,10.00,0.615,10.00,5.00,0.667,8.00,3.00,5.00,7.00,3.00,0.00,0.00,0.00,1222.00,1134.00,81.5,75.6,2126.00,1970.00,81.8,75.8,734.00,1617.00,0.454,294.00,754.00,0.39,364.00,442.00,0.824,2.64,109.4,74,106.7,285,71.8,47,0.013,147,0.01,177,21.34,4,102.9,173,102.8,206,Second Round,2,Oral Roberts,15,81,,,37,28,Florida  ,SEC,23.00,14.00,9.00,0.609,9.00,7.00,0.563,6.00,3.00,5.00,5.00,3.00,1.00,2.00,2.00,1158.00,1123.00,72.4,70.2,1701.00,1606.00,74,69.8,605.00,1303.00,0.464,157.00,440.00,0.357,334.00,441.00,0.757,18.98,111.7,40,92.7,37,68.7,165,0.003,166,14.62,23,8.64,76,109.7,27,95.1,25,Florida,7,46
2,8,3,2021,3,Illinois,1,Big Ten,29.00,23.00,6.00,0.793,16.00,4.00,0.8,11.00,2.00,9.00,3.00,3.00,0.00,8.00,3.00,1572.00,1377.00,78.6,68.9,2361.00,2008.00,81.4,69.2,851.00,1707.00,0.499,197.00,524.00,0.376,462.00,669.00,0.691,32.04,119.7,7,87.6,5,70.7,80,0.03,110,18.88,3,9.95,57,112.6,2,93.7,9,Second Round,2,Illinois,1,58,17,,9,30,Loyola-Chicago,Missouri Valley,28.00,24.00,4.00,0.857,16.00,2.00,0.889,13.00,0.00,8.00,3.00,3.00,1.00,0.00,1.00,1263.00,971.00,70.2,53.9,2002.00,1555.00,71.5,55.5,735.00,1456.00,0.505,201.00,546.00,0.368,331.00,458.00,0.723,25.18,111.1,49,85.9,1,64.2,342,-0.02,226,4.11,134,4.7,129,104.3,136,100.2,136,Loyola-Chicago,8,47
17,,9,2021,30,Loyola-Chicago,1,Missouri Valley,28.00,24.00,4.00,0.857,16.00,2.00,0.889,13.00,0.00,8.00,3.00,3.00,1.00,0.00,1.00,1263.00,971.00,70.2,53.9,2002.00,1555.00,71.5,55.5,735.00,1456.00,0.505,201.00,546.00,0.368,331.00,458.00,0.723,25.18,111.1,49,85.9,1,64.2,342,-0.02,226,4.11,134,4.7,129,104.3,136,100.2,136,Second Round,2,Loyola-Chicago,8,71,2,8,3,3,Illinois,Big Ten,29.00,23.00,6.00,0.793,16.00,4.00,0.8,11.00,2.00,9.00,3.00,3.00,0.00,8.00,3.00,1572.00,1377.00,78.6,68.9,2361.00,2008.00,81.4,69.2,851.00,1707.00,0.499,197.00,524.00,0.376,462.00,669.00,0.691,32.04,119.7,7,87.6,5,70.7,80,0.03,110,18.88,3,9.95,57,112.6,2,93.7,9,Illinois,1,47
,,85,2021,46,Oregon State,1,Pac-12,29.00,17.00,12.00,0.586,10.00,10.00,0.5,10.00,6.00,4.00,6.00,3.00,0.00,2.00,1.00,1337.00,1379.00,66.9,69,2049.00,1981.00,70.7,68.3,712.00,1638.00,0.435,203.00,575.00,0.353,422.00,557.00,0.758,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,-6.2,292,108.6,49,97.4,80,Second Round,2,Oregon State,12,80,11,,30,15,Oklahoma State,Big 12,28.00,20.00,8.00,0.714,11.00,7.00,0.611,10.00,3.00,8.00,4.00,2.00,1.00,9.00,5.00,1372.00,1322.00,76.2,73.4,2158.00,2041.00,77.1,72.9,775.00,1658.00,0.467,179.00,529.00,0.338,429.00,602.00,0.713,20.2,110.8,54,90.6,22,72,43,0.039,89,14.63,22,4.55,134,110.6,16,96,42,Oklahoma State,4,48
11,,30,2021,15,Oklahoma State,0,Big 12,28.00,20.00,8.00,0.714,11.00,7.00,0.611,10.00,3.00,8.00,4.00,2.00,1.00,9.00,5.00,1372.00,1322.00,76.2,73.4,2158.00,2041.00,77.1,72.9,775.00,1658.00,0.467,179.00,529.00,0.338,429.00,602.00,0.713,20.2,110.8,54,90.6,22,72,43,0.039,89,14.63,22,4.55,134,110.6,16,96,42,Second Round,2,Oklahoma State,4,70,,,85,46,Oregon State,Pac-12,29.00,17.00,12.00,0.586,10.00,10.00,0.5,10.00,6.00,4.00,6.00,3.00,0.00,2.00,1.00,1337.00,1379.00,66.9,69,2049.00,1981.00,70.7,68.3,712.00,1638.00,0.435,203.00,575.00,0.353,422.00,557.00,0.758,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,-6.2,292,108.6,49,97.4,80,Oregon State,12,48
,,41,2021,41,Syracuse,0,ACC,25.00,16.00,9.00,0.64,9.00,7.00,0.563,13.00,1.00,2.00,7.00,1.00,1.00,1.00,3.00,1179.00,1147.00,73.7,71.7,1896.00,1768.00,75.8,70.7,676.00,1533.00,0.441,203.00,598.00,0.339,341.00,435.00,0.784,17.66,114.5,22,96.9,89,69.2,138,0.017,137,11.66,57,2.46,171,108.5,51,96.8,64,Second Round,2,Syracuse,11,75,13,15,27,10,West Virginia,Big 12,27.00,18.00,9.00,0.667,11.00,6.00,0.647,8.00,5.00,7.00,2.00,3.00,2.00,5.00,7.00,1327.00,1259.00,78.1,74.1,2087.00,1947.00,77.3,72.1,711.00,1660.00,0.428,196.00,549.00,0.357,469.00,654.00,0.717,21.75,116.8,11,95.1,65,69.6,114,-0.04,264,14.84,19,13.58,27,109.2,37,94.4,17,West Virginia,3,49
13,15,27,2021,10,West Virginia,0,Big 12,27.00,18.00,9.00,0.667,11.00,6.00,0.647,8.00,5.00,7.00,2.00,3.00,2.00,5.00,7.00,1327.00,1259.00,78.1,74.1,2087.00,1947.00,77.3,72.1,711.00,1660.00,0.428,196.00,549.00,0.357,469.00,654.00,0.717,21.75,116.8,11,95.1,65,69.6,114,-0.04,264,14.84,19,13.58,27,109.2,37,94.4,17,Second Round,2,West Virginia,3,72,,,41,41,Syracuse,ACC,25.00,16.00,9.00,0.64,9.00,7.00,0.563,13.00,1.00,2.00,7.00,1.00,1.00,1.00,3.00,1179.00,1147.00,73.7,71.7,1896.00,1768.00,75.8,70.7,676.00,1533.00,0.441,203.00,598.00,0.339,341.00,435.00,0.784,17.66,114.5,22,96.9,89,69.2,138,0.017,137,11.66,57,2.46,171,108.5,51,96.8,64,Syracuse,11,49
,24,34,2021,40,Rutgers,0,Big Ten,26.00,15.00,11.00,0.577,10.00,10.00,0.5,10.00,4.00,4.00,6.00,1.00,1.00,1.00,7.00,1359.00,1371.00,68,68.6,1819.00,1774.00,70,68.2,696.00,1544.00,0.451,157.00,505.00,0.311,270.00,427.00,0.632,19.57,109.3,75,89.8,18,67.8,213,0.032,104,18.2,7,-5.43,285,112.4,4,94.2,13,Second Round,2,Rutgers,10,60,6,17,6,8,Houston,American,27.00,24.00,3.00,0.889,14.00,3.00,0.824,15.00,0.00,5.00,3.00,4.00,0.00,1.00,0.00,1273.00,1001.00,74.9,58.9,2096.00,1562.00,77.6,57.9,739.00,1664.00,0.444,252.00,699.00,0.361,366.00,494.00,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,Houston,2,50
6,17,6,2021,8,Houston,1,American,27.00,24.00,3.00,0.889,14.00,3.00,0.824,15.00,0.00,5.00,3.00,4.00,0.00,1.00,0.00,1273.00,1001.00,74.9,58.9,2096.00,1562.00,77.6,57.9,739.00,1664.00,0.444,252.00,699.00,0.361,366.00,494.00,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,Second Round,2,Houston,2,63,,24,34,40,Rutgers,Big Ten,26.00,15.00,11.00,0.577,10.00,10.00,0.5,10.00,4.00,4.00,6.00,1.00,1.00,1.00,7.00,1359.00,1371.00,68,68.6,1819.00,1774.00,70,68.2,696.00,1544.00,0.451,157.00,505.00,0.311,270.00,427.00,0.632,19.57,109.3,75,89.8,18,67.8,213,0.032,104,18.2,7,-5.43,285,112.4,4,94.2,13,Rutgers,10,50
1,1,1,2021,1,Gonzaga,1,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Sweet Sixteen,3,Gonzaga,1,83,19,11,19,17,Creighton,Big East,28.00,20.00,8.00,0.714,14.00,6.00,0.7,11.00,3.00,7.00,4.00,2.00,1.00,3.00,2.00,1535.00,1397.00,76.8,69.9,2155.00,1912.00,77,68.3,797.00,1675.00,0.476,272.00,742.00,0.367,289.00,450.00,0.642,22.73,115.6,14,92.8,40,69.1,144,0.001,172,12.52,45,-1.4,233,107.8,63,95.3,29,Creighton,5,51
19,11,19,2021,17,Creighton,0,Big East,28.00,20.00,8.00,0.714,14.00,6.00,0.7,11.00,3.00,7.00,4.00,2.00,1.00,3.00,2.00,1535.00,1397.00,76.8,69.9,2155.00,1912.00,77,68.3,797.00,1675.00,0.476,272.00,742.00,0.367,289.00,450.00,0.642,22.73,115.6,14,92.8,40,69.1,144,0.001,172,12.52,45,-1.4,233,107.8,63,95.3,29,Sweet Sixteen,3,Creighton,5,65,1,1,1,1,Gonzaga,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Gonzaga,1,51
24,,14,2021,21,USC,0,Pac-12,29.00,22.00,7.00,0.759,15.00,5.00,0.75,13.00,2.00,7.00,3.00,2.00,2.00,1.00,1.00,1455.00,1287.00,72.8,64.4,2168.00,1888.00,74.8,65.1,788.00,1687.00,0.467,183.00,526.00,0.348,409.00,632.00,0.647,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,5.03,128,108.1,57,97,70,Sweet Sixteen,3,USC,6,82,,20,36,25,Oregon,Pac-12,26.00,20.00,6.00,0.769,14.00,4.00,0.778,11.00,2.00,7.00,2.00,2.00,2.00,0.00,1.00,1311.00,1229.00,72.8,68.3,1934.00,1753.00,74.4,67.4,715.00,1515.00,0.472,218.00,575.00,0.379,286.00,406.00,0.704,19.11,115.1,16,96,76,67.2,242,0.048,76,10.06,75,2.73,164,107.7,68,97.6,89,Oregon,7,52
,20,36,2021,25,Oregon,0,Pac-12,26.00,20.00,6.00,0.769,14.00,4.00,0.778,11.00,2.00,7.00,2.00,2.00,2.00,0.00,1.00,1311.00,1229.00,72.8,68.3,1934.00,1753.00,74.4,67.4,715.00,1515.00,0.472,218.00,575.00,0.379,286.00,406.00,0.704,19.11,115.1,16,96,76,67.2,242,0.048,76,10.06,75,2.73,164,107.7,68,97.6,89,Sweet Sixteen,3,Oregon,7,68,24,,14,21,USC,Pac-12,29.00,22.00,7.00,0.759,15.00,5.00,0.75,13.00,2.00,7.00,3.00,2.00,2.00,1.00,1.00,1455.00,1287.00,72.8,64.4,2168.00,1888.00,74.8,65.1,788.00,1687.00,0.467,183.00,526.00,0.348,409.00,632.00,0.647,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,5.03,128,108.1,57,97,70,USC,6,52
4,25,2,2021,4,Michigan,0,Big Ten,24.00,20.00,4.00,0.833,14.00,3.00,0.824,13.00,1.00,6.00,2.00,1.00,1.00,6.00,3.00,1252.00,1088.00,73.6,64,1830.00,1569.00,76.3,65.4,668.00,1382.00,0.483,181.00,468.00,0.387,311.00,400.00,0.778,32.22,120.1,6,87.9,7,66.8,260,0.026,115,16.87,14,2.99,158,111.3,12,94.5,18,Sweet Sixteen,3,Michigan,1,76,14,21,15,13,Florida State,ACC,22.00,16.00,6.00,0.727,11.00,4.00,0.733,12.00,1.00,3.00,4.00,1.00,1.00,2.00,0.00,1208.00,1060.00,80.5,70.7,1736.00,1547.00,78.9,70.3,620.00,1307.00,0.474,181.00,464.00,0.39,315.00,427.00,0.738,23.5,117.1,10,93.6,48,70.6,84,-0.011,207,12.54,44,4.23,142,108.8,46,96.2,45,Florida State,4,53
14,21,15,2021,13,Florida State,0,ACC,22.00,16.00,6.00,0.727,11.00,4.00,0.733,12.00,1.00,3.00,4.00,1.00,1.00,2.00,0.00,1208.00,1060.00,80.5,70.7,1736.00,1547.00,78.9,70.3,620.00,1307.00,0.474,181.00,464.00,0.39,315.00,427.00,0.738,23.5,117.1,10,93.6,48,70.6,84,-0.011,207,12.54,44,4.23,142,108.8,46,96.2,45,Sweet Sixteen,3,Florida State,4,58,4,25,2,4,Michigan,Big Ten,24.00,20.00,4.00,0.833,14.00,3.00,0.824,13.00,1.00,6.00,2.00,1.00,1.00,6.00,3.00,1252.00,1088.00,73.6,64,1830.00,1569.00,76.3,65.4,668.00,1382.00,0.483,181.00,468.00,0.387,311.00,400.00,0.778,32.22,120.1,6,87.9,7,66.8,260,0.026,115,16.87,14,2.99,158,111.3,12,94.5,18,Michigan,1,53
,22,44,2021,44,UCLA,0,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,Sweet Sixteen,3,UCLA,11,88,5,,8,5,Alabama,SEC,30.00,24.00,6.00,0.8,16.00,2.00,0.889,12.00,1.00,7.00,3.00,5.00,2.00,1.00,3.00,1474.00,1262.00,81.9,70.1,2387.00,2093.00,79.6,69.8,834.00,1937.00,0.431,320.00,912.00,0.351,399.00,554.00,0.72,26.42,112.4,34,86,2,73.9,9,0.031,107,14.2,27,8.88,70,109.7,28,95.5,32,Alabama,2,54
